PuGrp,PUnit,Chunk,ValidSectors,InvalidSectors,UnusedSectors,ValidRatio,InvalidRatio
0,0,0,-97263776,21989,97245883,-23746,5.36841
0,0,1,0,4096,0,0,1
0,0,2,4096,0,0,1,0
0,0,3,4096,0,0,1,0
0,0,8,1868918383,1852399462,573653547,456279,452246
0,0,9,1852797802,1835101791,607071799,452343,448023
0,0,10,1769238639,7564911,-1776799454,431943,1846.9
0,0,11,1869571886,778398823,1647000683,456438,190039
0,0,12,-97261968,21989,97244075,-23745.6,5.36841
0,0,13,4,0,4092,0.000976562,0
0,0,14,11,0,4085,0.00268555,0
0,0,15,1585,2521,-10,0.386963,0.615479
0,0,16,10,0,4086,0.00244141,0
0,0,17,1610,2497,-11,0.393066,0.609619
0,0,18,10,0,4086,0.00244141,0
0,0,19,12,0,4084,0.00292969,0
0,0,20,12,0,4084,0.00292969,0
0,0,21,9,0,4087,0.00219727,0
0,0,22,11,0,4085,0.00268555,0
0,0,23,1554,2552,-10,0.379395,0.623047
0,0,24,12,0,4084,0.00292969,0
0,0,25,10,0,4086,0.00244141,0
0,0,26,11,0,4085,0.00268555,0
0,0,27,1614,2491,-9,0.394043,0.608154
0,0,28,13,0,4083,0.00317383,0
0,0,29,13,0,4083,0.00317383,0
0,1,0,-96579184,26085,96557195,-23578.9,6.36841
0,1,1,0,4096,0,0,1
0,1,2,4096,0,0,1,0
0,1,3,4096,0,0,1,0
0,1,15,1594,2502,0,0.38916,0.61084
0,1,17,1610,2486,0,0.393066,0.606934
0,1,23,1617,2479,0,0.394775,0.605225
0,1,27,1629,2467,0,0.397705,0.602295
0,2,0,-96573584,26085,96551595,-23577.5,6.36841
0,2,1,0,4096,0,0,1
0,2,2,4096,0,0,1,0
0,2,3,4096,0,0,1,0
0,2,15,1529,2567,0,0.373291,0.626709
0,2,17,1626,2470,0,0.396973,0.603027
0,2,23,1560,2536,0,0.380859,0.619141
0,2,27,1599,2497,0,0.390381,0.609619
0,3,0,-96579184,26085,96557195,-23578.9,6.36841
0,3,1,0,4096,0,0,1
0,3,2,4096,0,0,1,0
0,3,3,4096,0,0,1,0
0,3,15,1579,2517,0,0.385498,0.614502
0,3,23,1527,2569,0,0.372803,0.627197
1,0,0,-96577728,26085,96555739,-23578.5,6.36841
1,0,1,0,4096,0,0,1
1,0,2,4096,0,0,1,0
1,0,3,4096,0,0,1,0
1,0,15,1616,2480,0,0.394531,0.605469
1,0,17,1579,2517,0,0.385498,0.614502
1,0,23,1585,2511,0,0.386963,0.613037
1,0,27,1562,2534,0,0.381348,0.618652
1,1,0,0,4096,0,0,1
1,1,1,0,4096,0,0,1
1,1,2,4096,0,0,1,0
1,1,3,4096,0,0,1,0
1,1,15,1614,2482,0,0.394043,0.605957
1,1,17,1651,2445,0,0.403076,0.596924
1,1,23,1603,2493,0,0.391357,0.608643
1,1,27,1579,2517,0,0.385498,0.614502
1,2,0,0,4096,0,0,1
1,2,1,0,4096,0,0,1
1,2,2,4096,0,0,1,0
1,2,3,4096,0,0,1,0
1,2,15,1579,2517,0,0.385498,0.614502
1,2,17,1609,2487,0,0.392822,0.607178
1,2,23,1632,2464,0,0.398438,0.601562
1,2,27,1568,2528,0,0.382812,0.617188
1,3,0,0,4096,0,0,1
1,3,1,0,4096,0,0,1
1,3,2,4096,0,0,1,0
1,3,3,4096,0,0,1,0
1,3,15,1565,2531,0,0.38208,0.61792
1,3,17,1540,2556,0,0.375977,0.624023
1,3,23,832,3264,0,0.203125,0.796875
1,3,27,1616,2480,0,0.394531,0.605469
2,0,0,0,4096,0,0,1
2,0,1,0,4096,0,0,1
2,0,2,4096,0,0,1,0
2,0,3,4096,0,0,1,0
2,0,15,1552,2544,0,0.378906,0.621094
2,0,17,1596,2500,0,0.389648,0.610352
2,0,23,1611,2485,0,0.393311,0.606689
2,0,27,1564,2532,0,0.381836,0.618164
2,1,0,0,4096,0,0,1
2,1,1,0,4096,0,0,1
2,1,2,4026,70,0,0.98291,0.0170898
2,1,3,4096,0,0,1,0
2,1,15,1587,2509,0,0.387451,0.612549
2,1,17,1550,2546,0,0.378418,0.621582
2,1,23,1647,2449,0,0.4021,0.5979
2,1,27,1564,2532,0,0.381836,0.618164
2,2,0,0,4096,0,0,1
2,2,1,0,4096,0,0,1
2,2,2,4039,57,0,0.986084,0.013916
2,2,3,4096,0,0,1,0
2,2,15,1580,2516,0,0.385742,0.614258
2,2,17,1617,2479,0,0.394775,0.605225
2,2,23,1614,2482,0,0.394043,0.605957
2,2,27,1592,2504,0,0.388672,0.611328
2,3,0,0,4096,0,0,1
2,3,1,77,4019,0,0.0187988,0.981201
2,3,2,4096,0,0,1,0
2,3,3,4096,0,0,1,0
2,3,15,1634,2462,0,0.398926,0.601074
2,3,17,1577,2519,0,0.38501,0.61499
2,3,27,1593,2503,0,0.388916,0.611084
3,0,0,0,4096,0,0,1
3,0,1,3608,488,0,0.880859,0.119141
3,0,2,4096,0,0,1,0
3,0,3,4096,0,0,1,0
3,0,15,1562,2534,0,0.381348,0.618652
3,0,17,1576,2520,0,0.384766,0.615234
3,0,23,1531,2565,0,0.373779,0.626221
3,0,27,1548,2548,0,0.37793,0.62207
3,1,0,32,4064,0,0.0078125,0.992188
3,1,1,4096,0,0,1,0
3,1,2,4096,0,0,1,0
3,1,3,4096,0,0,1,0
3,1,15,1609,2487,0,0.392822,0.607178
3,1,17,1503,2593,0,0.366943,0.633057
3,1,23,1511,2585,0,0.368896,0.631104
3,1,27,1563,2533,0,0.381592,0.618408
3,2,0,21,4075,0,0.00512695,0.994873
3,2,1,4096,0,0,1,0
3,2,2,4096,0,0,1,0
3,2,3,4096,0,0,1,0
3,2,15,1567,2529,0,0.382568,0.617432
3,2,17,1563,2533,0,0.381592,0.618408
3,2,23,1545,2551,0,0.377197,0.622803
3,2,27,1561,2535,0,0.381104,0.618896
3,3,0,0,4096,0,0,1
3,3,1,4096,0,0,1,0
3,3,2,4096,0,0,1,0
3,3,3,4096,0,0,1,0
3,3,15,1565,2531,0,0.38208,0.61792
3,3,17,1552,2544,0,0.378906,0.621094
3,3,23,1534,2562,0,0.374512,0.625488
3,3,27,1552,2544,0,0.378906,0.621094
4,0,0,0,4096,0,0,1
4,0,1,4096,0,0,1,0
4,0,2,4096,0,0,1,0
4,0,3,4096,0,0,1,0
4,0,15,1556,2540,0,0.379883,0.620117
4,0,17,1557,2539,0,0.380127,0.619873
4,0,23,1603,2493,0,0.391357,0.608643
4,0,27,1587,2509,0,0.387451,0.612549
4,1,0,0,4096,0,0,1
4,1,1,4096,0,0,1,0
4,1,2,4096,0,0,1,0
4,1,3,4096,0,0,1,0
4,1,15,1536,2560,0,0.375,0.625
4,1,17,1572,2524,0,0.383789,0.616211
4,1,23,1570,2526,0,0.383301,0.616699
4,1,27,1619,2477,0,0.395264,0.604736
4,2,0,0,4096,0,0,1
4,2,1,4096,0,0,1,0
4,2,2,4096,0,0,1,0
4,2,3,4096,0,0,1,0
4,2,15,1599,2497,0,0.390381,0.609619
4,2,17,1557,2539,0,0.380127,0.619873
4,2,23,1567,2529,0,0.382568,0.617432
4,2,27,1553,2543,0,0.37915,0.62085
4,3,0,0,4096,0,0,1
4,3,1,4096,0,0,1,0
4,3,2,4096,0,0,1,0
