PuGrp,PUnit,Chunk,ValidSectors,InvalidSectors,UnusedSectors,ValidRatio,InvalidRatio
4,2,17,3196,900,0,0.780273,0.219727
4,2,23,3170,926,0,0.773926,0.226074
4,2,27,3163,933,0,0.772217,0.227783
4,2,28,3185,911,0,0.777588,0.222412
4,3,0,3117,979,0,0.760986,0.239014
4,3,1,4096,0,0,1,0
4,3,15,3173,923,0,0.774658,0.225342
4,3,17,3183,913,0,0.7771,0.2229
4,3,23,3176,920,0,0.775391,0.224609
4,3,27,3195,901,0,0.780029,0.219971
4,3,28,3183,913,0,0.7771,0.2229
5,0,0,4096,0,0,1,0
5,0,1,4096,0,0,1,0
5,0,15,3191,905,0,0.779053,0.220947
5,0,17,3195,901,0,0.780029,0.219971
5,0,23,3178,918,0,0.775879,0.224121
5,0,27,3186,910,0,0.777832,0.222168
5,0,28,3200,896,0,0.78125,0.21875
5,1,0,4096,0,0,1,0
5,1,1,2408,0,1688,0.587891,0
5,1,15,3172,924,0,0.774414,0.225586
5,1,17,3152,944,0,0.769531,0.230469
5,1,23,3169,927,0,0.773682,0.226318
5,1,27,3191,905,0,0.779053,0.220947
5,1,28,3233,863,0,0.789307,0.210693
5,2,0,4096,0,0,1,0
5,2,15,3183,913,0,0.7771,0.2229
5,2,17,3145,951,0,0.767822,0.232178
5,2,23,3170,926,0,0.773926,0.226074
5,2,27,3171,925,0,0.77417,0.22583
5,2,28,3186,910,0,0.777832,0.222168
5,3,0,4096,0,0,1,0
5,3,15,1646,2450,0,0.401855,0.598145
5,3,17,3174,922,0,0.774902,0.225098
5,3,23,3164,932,0,0.772461,0.227539
5,3,27,3131,965,0,0.764404,0.235596
5,3,28,3200,896,0,0.78125,0.21875
6,0,0,4096,0,0,1,0
6,0,15,3159,937,0,0.77124,0.22876
6,0,17,3182,914,0,0.776855,0.223145
6,0,23,3140,956,0,0.766602,0.233398
6,0,27,3176,920,0,0.775391,0.224609
6,0,28,3137,959,0,0.765869,0.234131
6,1,0,4084,12,0,0.99707,0.00292969
6,1,15,3182,914,0,0.776855,0.223145
6,1,17,3204,892,0,0.782227,0.217773
6,1,23,3156,940,0,0.770508,0.229492
6,1,27,3161,935,0,0.771729,0.228271
6,1,28,3130,966,0,0.76416,0.23584
6,2,0,4067,29,0,0.99292,0.00708008
6,2,15,3162,934,0,0.771973,0.228027
6,2,17,3195,901,0,0.780029,0.219971
6,2,23,3144,952,0,0.767578,0.232422
6,2,27,3199,897,0,0.781006,0.218994
6,2,28,3139,957,0,0.766357,0.233643
6,3,0,4096,0,0,1,0
6,3,17,3192,904,0,0.779297,0.220703
6,3,23,3178,918,0,0.775879,0.224121
6,3,27,3208,888,0,0.783203,0.216797
6,3,28,3159,937,0,0.77124,0.22876
7,0,0,4096,0,0,1,0
7,0,15,3228,868,0,0.788086,0.211914
7,0,17,3188,908,0,0.77832,0.22168
7,0,23,3204,892,0,0.782227,0.217773
7,0,27,3171,925,0,0.77417,0.22583
7,0,28,3192,904,0,0.779297,0.220703
7,1,0,4096,0,0,1,0
7,1,15,3168,928,0,0.773438,0.226562
7,1,17,3175,921,0,0.775146,0.224854
7,1,23,3153,943,0,0.769775,0.230225
7,1,27,3179,917,0,0.776123,0.223877
7,1,28,3157,939,0,0.770752,0.229248
7,2,0,4096,0,0,1,0
7,2,15,3139,957,0,0.766357,0.233643
7,2,17,1625,2471,0,0.396729,0.603271
7,2,23,3206,890,0,0.782715,0.217285
7,2,27,1634,2462,0,0.398926,0.601074
7,2,28,3199,897,0,0.781006,0.218994
7,3,0,4096,0,0,1,0
7,3,15,3140,956,0,0.766602,0.233398
7,3,17,3160,936,0,0.771484,0.228516
7,3,23,3163,933,0,0.772217,0.227783
7,3,27,3146,950,0,0.768066,0.231934
7,3,28,3218,878,0,0.785645,0.214355
