'Time';'Channel';'PU';'Read';'Write'
28.0747;0;0;1170
28.0748;0;1;1163
28.0748;0;2;1199
28.0748;0;3;566
28.0748;0;4;1248
28.0748;0;5;1220
28.0748;0;6;1200
28.0748;0;7;1113
28.0748;0;0;;0
28.0748;0;1;;0
28.0748;0;2;;0
28.0749;0;3;;0
28.0749;0;4;;0
28.0749;0;5;;0
28.0749;0;6;;0
28.0749;0;7;;0
32.5209;0;0;1135
32.521;0;1;1124
32.521;0;2;1163
32.521;0;3;547
32.521;0;4;1070
32.521;0;5;1070
32.521;0;6;1105
32.521;0;7;1050
32.5211;0;0;;0
32.5211;0;1;;0
32.5211;0;2;;0
32.5211;0;3;;0
32.5211;0;4;;0
32.5211;0;5;;0
32.5211;0;6;;0
32.5211;0;7;;0
36.8874;0;0;1013
36.8875;0;1;1032
36.8875;0;2;1059
36.8875;0;3;546
36.8875;0;4;1022
36.8875;0;5;1076
36.8875;0;6;1050
36.8875;0;7;843
44.9555;0;0;;0
44.9556;0;1;;0
44.9556;0;2;;0
44.9556;0;3;;0
44.9556;0;4;;2904
44.9556;0;5;;4096
44.9556;0;6;;4096
44.9556;0;7;;6072
48.8367;0;0;315
48.8368;0;1;329
48.8368;0;2;296
48.8368;0;3;152
48.8368;0;4;403
48.8368;0;5;426
48.8368;0;6;421
48.8368;0;7;473
51.6079;0;0;;0
51.608;0;1;;0
51.608;0;2;;0
51.608;0;3;;0
51.608;0;4;;0
51.608;0;5;;0
51.608;0;6;;0
51.608;0;7;;0
53.7318;0;0;0
53.7319;0;1;0
53.7319;0;2;0
53.7319;0;3;0
53.7319;0;4;2837
53.7319;0;5;3984
53.7319;0;6;3993
53.7319;0;7;5909
65.8741;0;0;;0
65.8741;0;1;;0
65.8741;0;2;;0
65.8741;0;3;;0
65.8741;0;4;;0
65.8741;0;5;;0
65.8741;0;6;;0
65.8741;0;7;;0
70.4092;0;0;0
70.4092;0;1;0
70.4092;0;2;0
70.4092;0;3;0
70.4092;0;4;0
70.4092;0;5;0
70.4092;0;6;0
70.4092;0;7;0
86.7424;0;0;;0
86.7424;0;1;;0
86.7424;0;2;;0
86.7424;0;3;;0
86.7424;0;4;;0
86.7424;0;5;;0
86.7424;0;6;;0
86.7424;0;7;;0
91.2631;0;0;0
91.2631;0;1;0
91.2632;0;2;0
91.2632;0;3;0
91.2632;0;4;0
91.2632;0;5;0
91.2632;0;6;0
91.2632;0;7;0
104.306;0;0;;4096
104.306;0;1;;4096
104.306;0;2;;4096
104.306;0;3;;3656
104.306;0;4;;0
104.306;0;5;;0
104.306;0;6;;0
104.306;0;7;;0
108.158;0;0;103
108.158;0;1;103
108.158;0;2;117
108.158;0;3;96
108.158;0;4;0
108.158;0;5;0
108.158;0;6;0
108.158;0;7;0
111.162;0;0;;0
111.162;0;1;;0
111.162;0;2;;0
111.162;0;3;;440
111.162;0;4;;4096
111.162;0;5;;4096
111.162;0;6;;2184
111.162;0;7;;0
