'Time';'Channel';'PU';'Read';'Write'
33.5075;0;0;264
33.591;0;1;265
33.6825;0;2;266
33.6826;0;3;275
33.765;0;4;249
33.8449;0;5;267
33.8451;0;6;269
33.9198;0;7;260
33.9199;1;0;269
33.9973;1;1;242
33.998;0;0;;0
33.9982;0;1;;0
33.9982;0;2;;0
33.9983;0;3;;0
33.9983;0;4;;0
33.9983;0;5;;0
33.9984;0;6;;0
33.9984;0;7;;0
33.9984;1;0;;0
33.9984;1;1;;0
33.9985;1;2;;0
33.9985;1;3;;0
33.9985;1;4;;0
33.9986;1;5;;0
33.9986;1;6;;0
33.9986;1;7;;0
33.9987;2;0;;0
33.9987;2;1;;0
33.9987;2;2;;0
33.9988;2;3;;0
33.9988;2;4;;0
33.9989;2;5;;0
33.9989;2;6;;0
33.9989;2;7;;0
33.999;3;0;;0
33.999;3;1;;0
33.999;3;2;;0
33.9991;3;3;;0
33.9991;3;4;;0
33.9991;3;5;;0
34.8552;0;0;268
34.9483;0;1;237
35.048;0;2;279
35.0481;0;3;256
35.1261;0;4;287
35.2015;0;5;240
35.2016;0;6;268
35.2896;0;7;258
35.2899;1;0;250
35.3715;1;1;262
35.3721;0;0;;0
35.3724;0;1;;0
35.3725;0;2;;0
35.3726;0;3;;0
35.3727;0;4;;0
35.3728;0;5;;0
35.3729;0;6;;0
35.373;0;7;;0
35.3731;1;0;;0
35.3731;1;1;;0
35.3732;1;2;;0
35.3733;1;3;;0
35.3734;1;4;;0
35.3734;1;5;;0
35.3735;1;6;;0
35.3736;1;7;;0
35.3736;2;0;;0
35.3737;2;1;;0
35.3738;2;2;;0
35.3738;2;3;;0
35.3739;2;4;;0
35.374;2;5;;0
35.3741;2;6;;0
35.3741;2;7;;0
35.3742;3;0;;0
35.3742;3;1;;0
35.3743;3;2;;0
35.3744;3;3;;0
35.3744;3;4;;0
35.3745;3;5;;0
36.2577;0;0;255
36.3488;0;1;260
36.4443;0;2;255
36.4444;0;3;251
36.5257;0;4;253
36.6121;0;5;281
36.6123;0;6;253
36.693;0;7;239
36.6932;1;0;285
36.7671;1;1;255
36.7679;0;0;;0
36.768;0;1;;0
36.7681;0;2;;0
36.7682;0;3;;0
36.7683;0;4;;0
36.7683;0;5;;0
36.7684;0;6;;0
36.7684;0;7;;0
36.7685;1;0;;0
36.7686;1;1;;0
36.7688;1;2;;0
36.7689;1;3;;0
36.769;1;4;;0
36.7691;1;5;;0
36.7692;1;6;;0
36.7693;1;7;;0
36.7694;2;0;;0
36.7695;2;1;;0
36.7696;2;2;;0
36.7697;2;3;;0
36.7698;2;4;;0
36.7699;2;5;;0
36.77;2;6;;0
36.7701;2;7;;0
36.7702;3;0;;0
36.7703;3;1;;0
36.7704;3;2;;0
36.7705;3;3;;0
36.7706;3;4;;0
36.7707;3;5;;0
37.6291;0;0;257
37.718;0;1;268
37.8099;0;2;245
37.81;0;3;253
37.8847;0;4;246
37.9617;0;5;257
37.9619;0;6;250
38.0362;0;7;268
38.0363;1;0;249
38.1145;1;1;252
38.1152;0;0;;0
38.1156;0;1;;0
38.1157;0;2;;0
38.1159;0;3;;0
38.116;0;4;;0
38.1161;0;5;;0
38.1161;0;6;;0
38.1162;0;7;;0
38.1163;1;0;;0
38.1164;1;1;;0
38.1166;1;2;;0
38.1167;1;3;;0
38.1169;1;4;;0
38.117;1;5;;0
38.1171;1;6;;0
38.1173;1;7;;0
38.1174;2;0;;0
38.1175;2;1;;0
38.1177;2;2;;0
38.1178;2;3;;0
38.1179;2;4;;0
38.1181;2;5;;0
38.1182;2;6;;0
38.1183;2;7;;0
38.1185;3;0;;0
38.1186;3;1;;0
38.1187;3;2;;0
38.1189;3;3;;0
38.119;3;4;;0
38.1191;3;5;;0
39.2704;0;0;231
39.3624;0;1;253
39.4537;0;2;269
39.4538;0;3;254
39.5388;0;4;264
39.617;0;5;244
39.6172;0;6;260
39.7047;0;7;248
39.7049;1;0;257
39.7872;1;1;244
39.7879;0;0;;0
39.7883;0;1;;0
39.7885;0;2;;0
39.7887;0;3;;0
39.7889;0;4;;0
39.7891;0;5;;0
39.7893;0;6;;0
39.7895;0;7;;0
39.7896;1;0;;0
39.7898;1;1;;0
39.79;1;2;;0
39.7901;1;3;;0
39.7903;1;4;;0
39.7905;1;5;;0
39.7907;1;6;;0
39.7909;1;7;;0
39.791;2;0;;0
39.7912;2;1;;0
39.7914;2;2;;0
39.7915;2;3;;0
39.7917;2;4;;0
39.7919;2;5;;0
39.7921;2;6;;0
39.7922;2;7;;0
39.7924;3;0;;0
39.7926;3;1;;0
39.7928;3;2;;0
39.793;3;3;;0
39.7931;3;4;;0
39.7933;3;5;;0
40.6529;0;0;250
40.7414;0;1;244
40.8449;0;2;245
40.845;0;3;259
40.9217;0;4;237
41.0057;0;5;247
41.0058;0;6;260
41.0867;0;7;232
41.0868;1;0;262
41.1595;1;1;268
41.1603;0;0;;0
41.1607;0;1;;0
41.1613;0;2;;0
41.1617;0;3;;0
41.1619;0;4;;0
41.1621;0;5;;0
41.1625;0;6;;0
41.1627;0;7;;0
41.1635;1;0;;0
41.1637;1;1;;0
41.165;1;2;;0
41.1651;1;3;;0
41.1665;1;4;;0
41.1667;1;5;;0
41.1669;1;6;;0
41.1671;1;7;;0
41.1677;2;0;;0
41.1688;2;1;;0
41.169;2;2;;0
41.1702;2;3;;0
41.1704;2;4;;0
41.1712;2;5;;0
41.1713;2;6;;0
41.1715;2;7;;0
41.1737;3;0;;0
41.1739;3;1;;0
41.174;3;2;;0
41.1747;3;3;;0
41.1753;3;4;;0
41.1755;3;5;;0
42.025;0;0;255
42.1026;0;1;245
42.1878;0;2;226
42.1879;0;3;230
42.2693;0;4;262
42.3446;0;5;238
42.3448;0;6;207
42.4219;0;7;256
42.422;1;0;268
42.4996;1;1;237
