'Time';'Channel';'PU';'Read';'Write'
59.1453;2;7;;0
59.1462;3;0;;0
59.1469;3;1;;0
59.1476;3;2;;0
59.1483;3;3;;0
59.1492;3;4;;0
59.1499;3;5;;0
59.1506;3;6;;0
59.1513;3;7;;0
61.8653;0;0;570
62.1364;0;1;528
62.1366;0;2;550
62.3873;0;3;520
62.3877;0;4;505
62.6787;0;5;581
62.6789;0;6;545
62.936;0;7;517
62.9605;0;0;;0
62.9613;0;1;;0
62.9621;0;2;;0
62.9629;0;3;;0
62.9638;0;4;;0
62.9646;0;5;;0
62.9654;0;6;;0
62.9663;0;7;;0
62.9674;1;0;;0
62.978;1;1;;0
62.9824;1;2;;0
62.9832;1;3;;0
63.0007;1;4;;0
63.0112;1;5;;0
63.012;1;6;;0
63.0128;1;7;;0
63.0138;2;0;;0
63.0146;2;1;;0
63.0221;2;2;;0
63.0246;2;3;;0
63.0256;2;4;;0
63.0333;2;5;;0
63.0342;2;6;;0
63.035;2;7;;0
63.036;3;0;;0
63.0368;3;1;;0
63.0376;3;2;;0
63.0384;3;3;;0
63.0452;3;4;;0
63.0498;3;5;;0
63.0506;3;6;;0
63.0513;3;7;;0
65.7729;0;0;533
66.0539;0;1;513
66.054;0;2;520
66.3414;0;3;525
66.3415;0;4;509
66.6171;0;5;534
66.6173;0;6;522
66.874;0;7;484
67.0399;0;0;;24
67.1727;0;1;;16
67.3302;0;2;;16
67.4851;0;3;;16
67.6392;0;4;;24
67.7857;0;5;;16
67.9222;0;6;;16
68.0742;0;7;;24
68.2135;1;0;;16
68.3843;1;1;;24
68.5444;1;2;;24
68.6835;1;3;;16
68.83;1;4;;24
68.983;1;5;;24
69.1039;1;6;;16
69.2232;1;7;;16
69.3626;2;0;;16
69.4986;2;1;;16
69.6729;2;2;;24
69.8274;2;3;;16
69.9696;2;4;;16
70.1223;2;5;;24
70.2463;2;6;;16
70.3928;2;7;;16
70.5586;3;0;;24
70.724;3;1;;24
70.8533;3;2;;16
71.006;3;3;;16
71.1482;3;4;;24
71.3039;3;5;;24
71.4421;3;6;;16
71.5696;3;7;;16
74.3438;0;0;520
74.6206;0;1;568
74.6209;0;2;511
74.8731;0;3;538
74.8733;0;4;537
75.1378;0;5;522
75.138;0;6;503
75.3981;0;7;548
75.574;0;0;;24
75.7556;0;1;;24
75.9279;0;2;;24
76.1134;0;3;;32
76.2742;0;4;;24
76.4413;0;5;;32
76.5946;0;6;;24
76.7631;0;7;;24
76.9396;1;0;;24
77.1132;1;1;;24
77.2895;1;2;;24
77.454;1;3;;24
77.5996;1;4;;24
77.763;1;5;;24
77.9233;1;6;;24
78.0872;1;7;;24
78.2594;2;0;;24
78.4351;2;1;;24
78.604;2;2;;24
78.77;2;3;;24
78.9343;2;4;;32
79.0957;2;5;;24
79.2514;2;6;;24
79.4077;2;7;;32
79.5856;3;0;;24
79.7617;3;1;;24
79.9214;3;2;;24
80.0892;3;3;;24
80.2526;3;4;;24
80.4146;3;5;;24
80.5713;3;6;;24
80.73;3;7;;24
83.1983;0;0;26
83.2237;0;1;24
83.2239;0;2;26
83.2476;0;3;25
83.2477;0;4;23
83.2696;0;5;25
83.2697;0;6;26
83.2916;0;7;26
83.4786;0;0;;24
83.6586;0;1;;24
83.8489;0;2;;32
84.0364;0;3;;24
84.2011;0;4;;24
84.3614;0;5;;24
84.5296;0;6;;24
84.7003;0;7;;24
84.884;1;0;;24
85.0669;1;1;;24
85.2531;1;2;;24
85.4276;1;3;;24
85.5914;1;4;;24
85.7587;1;5;;24
85.9217;1;6;;24
86.0906;1;7;;24
86.2758;2;0;;24
86.4526;2;1;;24
86.6407;2;2;;24
86.8186;2;3;;32
86.9839;2;4;;24
87.153;2;5;;24
87.3239;2;6;;24
87.4873;2;7;;24
87.6741;3;0;;24
87.8516;3;1;;24
88.0286;3;2;;24
88.2025;3;3;;24
88.3651;3;4;;24
88.5424;3;5;;24
88.7087;3;6;;24
88.8707;3;7;;24
91.5283;0;0;28
91.5555;0;1;25
91.5556;0;2;25
91.5801;0;3;25
91.5802;0;4;25
91.6028;0;5;26
