PuGrp,PUnit,Chunk,ValidSectors,InvalidSectors,UnusedSectors,ValidRatio,InvalidRatio
0,0,1,4096,0,0,1,0
0,0,2,4096,0,0,1,0
0,0,3,4096,0,0,1,0
0,0,4,4096,0,0,1,0
0,0,5,4096,0,0,1,0
0,0,6,4096,0,0,1,0
0,0,7,4096,0,0,1,0
0,0,8,3222,874,0,0.786621,0.213379
0,0,9,1935,2161,0,0.472412,0.527588
0,0,10,1881,2215,0,0.459229,0.540771
0,0,11,1885,2211,0,0.460205,0.539795
0,0,12,1934,2162,0,0.472168,0.527832
0,0,13,1864,2232,0,0.455078,0.544922
0,0,14,1869,2227,0,0.456299,0.543701
0,0,15,1902,2194,0,0.464355,0.535645
0,0,16,2051,1357,688,0.500732,0.331299
0,1,0,4096,0,0,1,0
0,1,1,4096,0,0,1,0
0,1,2,4096,0,0,1,0
0,1,3,4096,0,0,1,0
0,1,4,4096,0,0,1,0
0,1,5,4096,0,0,1,0
0,1,6,4096,0,0,1,0
0,1,7,3221,875,0,0.786377,0.213623
0,1,8,1895,2201,0,0.462646,0.537354
0,1,9,1846,2250,0,0.450684,0.549316
0,1,10,1879,2217,0,0.45874,0.54126
0,1,11,1897,2199,0,0.463135,0.536865
0,1,12,1953,2143,0,0.476807,0.523193
0,1,13,1960,2136,0,0.478516,0.521484
0,1,14,1882,2214,0,0.459473,0.540527
0,1,15,2010,1398,688,0.490723,0.341309
0,2,0,4096,0,0,1,0
0,2,1,4096,0,0,1,0
0,2,2,4096,0,0,1,0
0,2,3,4096,0,0,1,0
0,2,4,4096,0,0,1,0
0,2,5,4096,0,0,1,0
0,2,6,4096,0,0,1,0
0,2,7,3224,872,0,0.787109,0.212891
0,2,8,1875,2221,0,0.457764,0.542236
0,2,9,1869,2227,0,0.456299,0.543701
0,2,10,1932,2164,0,0.47168,0.52832
0,2,11,1910,2186,0,0.466309,0.533691
0,2,12,1903,2193,0,0.4646,0.5354
0,2,13,1830,2266,0,0.446777,0.553223
0,2,14,1929,2167,0,0.470947,0.529053
0,2,15,2020,1388,688,0.493164,0.338867
0,3,0,4096,0,0,1,0
0,3,1,4096,0,0,1,0
0,3,2,4096,0,0,1,0
0,3,3,4096,0,0,1,0
0,3,4,4096,0,0,1,0
0,3,5,4096,0,0,1,0
0,3,6,4096,0,0,1,0
0,3,7,3225,871,0,0.787354,0.212646
0,3,8,1943,2153,0,0.474365,0.525635
0,3,9,1894,2202,0,0.462402,0.537598
0,3,10,1898,2198,0,0.463379,0.536621
0,3,11,1890,2206,0,0.461426,0.538574
0,3,12,1906,2190,0,0.465332,0.534668
0,3,13,1887,2209,0,0.460693,0.539307
0,3,14,1898,2198,0,0.463379,0.536621
0,3,15,1992,1416,688,0.486328,0.345703
1,0,0,4096,0,0,1,0
1,0,1,4096,0,0,1,0
1,0,2,4096,0,0,1,0
1,0,3,4096,0,0,1,0
1,0,4,4096,0,0,1,0
1,0,5,4096,0,0,1,0
1,0,6,4096,0,0,1,0
1,0,7,3228,868,0,0.788086,0.211914
1,0,8,1918,2178,0,0.468262,0.531738
1,0,9,1913,2183,0,0.467041,0.532959
1,0,10,1912,2184,0,0.466797,0.533203
1,0,11,1858,2238,0,0.453613,0.546387
1,0,12,1987,2109,0,0.485107,0.514893
1,0,13,1886,2210,0,0.460449,0.539551
1,0,14,1851,2245,0,0.451904,0.548096
1,0,15,2008,1392,696,0.490234,0.339844
1,1,0,4096,0,0,1,0
1,1,1,4096,0,0,1,0
1,1,2,4096,0,0,1,0
1,1,3,4096,0,0,1,0
1,1,4,4096,0,0,1,0
1,1,5,4096,0,0,1,0
1,1,6,4096,0,0,1,0
1,1,7,3230,866,0,0.788574,0.211426
1,1,8,1904,2192,0,0.464844,0.535156
1,1,9,1904,2192,0,0.464844,0.535156
1,1,10,1946,2150,0,0.475098,0.524902
1,1,11,1889,2207,0,0.461182,0.538818
1,1,12,1898,2198,0,0.463379,0.536621
1,1,13,1891,2205,0,0.46167,0.53833
1,1,14,1871,2225,0,0.456787,0.543213
1,1,15,2017,1383,696,0.492432,0.337646
1,2,0,4096,0,0,1,0
1,2,1,4096,0,0,1,0
1,2,2,4096,0,0,1,0
1,2,3,4096,0,0,1,0
1,2,4,4096,0,0,1,0
1,2,5,4096,0,0,1,0
1,2,6,4096,0,0,1,0
1,2,7,3223,873,0,0.786865,0.213135
1,2,8,1948,2148,0,0.475586,0.524414
1,2,9,1903,2193,0,0.4646,0.5354
1,2,10,1889,2207,0,0.461182,0.538818
1,2,11,1923,2173,0,0.469482,0.530518
1,2,12,1865,2231,0,0.455322,0.544678
1,2,13,1906,2190,0,0.465332,0.534668
1,2,14,1909,2187,0,0.466064,0.533936
1,2,15,2007,1401,688,0.48999,0.342041
1,3,0,4096,0,0,1,0
1,3,1,4096,0,0,1,0
1,3,2,4096,0,0,1,0
1,3,3,4096,0,0,1,0
1,3,4,4096,0,0,1,0
1,3,5,4096,0,0,1,0
1,3,6,4096,0,0,1,0
1,3,7,3221,875,0,0.786377,0.213623
1,3,8,1909,2187,0,0.466064,0.533936
1,3,9,1839,2257,0,0.448975,0.551025
1,3,10,1943,2153,0,0.474365,0.525635
1,3,11,1962,2134,0,0.479004,0.520996
1,3,12,1861,2235,0,0.454346,0.545654
1,3,13,1863,2233,0,0.454834,0.545166
1,3,14,1896,2200,0,0.462891,0.537109
1,3,15,2002,1406,688,0.48877,0.343262
2,0,0,4096,0,0,1,0
2,0,1,4096,0,0,1,0
2,0,2,4096,0,0,1,0
2,0,3,4096,0,0,1,0
2,0,4,4096,0,0,1,0
2,0,5,4096,0,0,1,0
2,0,6,4096,0,0,1,0
2,0,7,3223,873,0,0.786865,0.213135
2,0,8,1940,2156,0,0.473633,0.526367
2,0,9,1958,2138,0,0.478027,0.521973
2,0,10,1848,2248,0,0.451172,0.548828
2,0,11,1886,2210,0,0.460449,0.539551
2,0,12,1911,2185,0,0.466553,0.533447
2,0,13,1866,2230,0,0.455566,0.544434
2,0,14,1906,2190,0,0.465332,0.534668
2,0,15,2052,1356,688,0.500977,0.331055
2,1,0,4096,0,0,1,0
2,1,1,4096,0,0,1,0
2,1,2,4096,0,0,1,0
2,1,3,4096,0,0,1,0
2,1,4,4096,0,0,1,0
2,1,5,4096,0,0,1,0
2,1,6,4096,0,0,1,0
2,1,7,3225,871,0,0.787354,0.212646
2,1,8,1887,2209,0,0.460693,0.539307
2,1,9,1909,2187,0,0.466064,0.533936
2,1,10,1819,2277,0,0.444092,0.555908
2,1,11,1941,2155,0,0.473877,0.526123
2,1,12,1914,2182,0,0.467285,0.532715
2,1,13,1870,2226,0,0.456543,0.543457
2,1,14,1906,2190,0,0.465332,0.534668
2,1,15,2011,1397,688,0.490967,0.341064
2,2,0,4096,0,0,1,0
2,2,1,4096,0,0,1,0
2,2,2,4096,0,0,1,0
2,2,3,4096,0,0,1,0
2,2,4,4096,0,0,1,0
2,2,5,4096,0,0,1,0
2,2,6,4096,0,0,1,0
2,2,7,3229,867,0,0.78833,0.21167
2,2,8,1888,2208,0,0.460938,0.539062
2,2,9,1902,2194,0,0.464355,0.535645
2,2,10,1946,2150,0,0.475098,0.524902
2,2,11,1893,2203,0,0.462158,0.537842
2,2,12,1935,2161,0,0.472412,0.527588
2,2,13,1841,2255,0,0.449463,0.550537
2,2,14,1918,2178,0,0.468262,0.531738
2,2,15,2007,1393,696,0.48999,0.340088
2,3,0,4096,0,0,1,0
2,3,1,4096,0,0,1,0
2,3,2,4096,0,0,1,0
2,3,3,4096,0,0,1,0
2,3,4,4096,0,0,1,0
2,3,5,4096,0,0,1,0
2,3,6,4096,0,0,1,0
2,3,7,3222,874,0,0.786621,0.213379
2,3,8,1911,2185,0,0.466553,0.533447
2,3,9,1923,2173,0,0.469482,0.530518
2,3,10,1890,2206,0,0.461426,0.538574
2,3,11,1854,2242,0,0.452637,0.547363
2,3,12,1895,2201,0,0.462646,0.537354
2,3,13,1912,2184,0,0.466797,0.533203
2,3,14,1878,2218,0,0.458496,0.541504
2,3,15,2019,1389,688,0.49292,0.339111
3,0,0,4096,0,0,1,0
3,0,1,4096,0,0,1,0
3,0,2,4096,0,0,1,0
3,0,3,4096,0,0,1,0
3,0,4,4096,0,0,1,0
3,0,5,4096,0,0,1,0
3,0,6,4096,0,0,1,0
3,0,7,3222,874,0,0.786621,0.213379
3,0,8,1947,2149,0,0.475342,0.524658
3,0,9,1853,2243,0,0.452393,0.547607
3,0,10,1883,2213,0,0.459717,0.540283
3,0,11,1899,2197,0,0.463623,0.536377
3,0,12,1910,2186,0,0.466309,0.533691
3,0,13,1881,2215,0,0.459229,0.540771
3,0,14,1916,2180,0,0.467773,0.532227
3,0,15,2006,1402,688,0.489746,0.342285
3,1,0,4096,0,0,1,0
3,1,1,4096,0,0,1,0
3,1,2,4096,0,0,1,0
3,1,3,4096,0,0,1,0
3,1,4,4096,0,0,1,0
3,1,5,4096,0,0,1,0
3,1,6,4096,0,0,1,0
3,1,7,3224,872,0,0.787109,0.212891
3,1,8,1931,2165,0,0.471436,0.528564
3,1,9,1929,2167,0,0.470947,0.529053
3,1,10,1814,2282,0,0.442871,0.557129
3,1,11,1910,2186,0,0.466309,0.533691
3,1,12,1924,2172,0,0.469727,0.530273
3,1,13,1929,2167,0,0.470947,0.529053
3,1,14,1892,2204,0,0.461914,0.538086
3,1,15,2005,1403,688,0.489502,0.342529
3,2,0,4096,0,0,1,0
3,2,1,4096,0,0,1,0
3,2,2,4096,0,0,1,0
3,2,3,4096,0,0,1,0
3,2,4,4096,0,0,1,0
3,2,5,4096,0,0,1,0
3,2,6,4096,0,0,1,0
3,2,7,3226,870,0,0.787598,0.212402
3,2,8,1874,2222,0,0.45752,0.54248
3,2,9,1837,2259,0,0.448486,0.551514
3,2,10,1934,2162,0,0.472168,0.527832
3,2,11,1849,2247,0,0.451416,0.548584
3,2,12,1872,2224,0,0.457031,0.542969
3,2,13,1890,2206,0,0.461426,0.538574
3,2,14,1920,2176,0,0.46875,0.53125
3,2,15,2039,1369,688,0.497803,0.334229
3,3,0,4096,0,0,1,0
3,3,1,4096,0,0,1,0
3,3,2,4096,0,0,1,0
3,3,3,4096,0,0,1,0
3,3,4,4096,0,0,1,0
3,3,5,4096,0,0,1,0
3,3,6,4096,0,0,1,0
3,3,7,3223,873,0,0.786865,0.213135
3,3,8,1920,2176,0,0.46875,0.53125
3,3,9,1911,2185,0,0.466553,0.533447
3,3,10,1848,2248,0,0.451172,0.548828
3,3,11,1899,2197,0,0.463623,0.536377
3,3,12,1890,2206,0,0.461426,0.538574
3,3,13,1930,2166,0,0.471191,0.528809
3,3,14,1913,2183,0,0.467041,0.532959
3,3,15,2050,1358,688,0.500488,0.331543
4,0,0,4096,0,0,1,0
4,0,1,4096,0,0,1,0
4,0,2,4096,0,0,1,0
4,0,3,4096,0,0,1,0
4,0,4,4096,0,0,1,0
4,0,5,4096,0,0,1,0
4,0,6,4096,0,0,1,0
4,0,7,3230,866,0,0.788574,0.211426
4,0,8,1837,2259,0,0.448486,0.551514
4,0,9,1909,2187,0,0.466064,0.533936
4,0,10,1892,2204,0,0.461914,0.538086
4,0,11,1914,2182,0,0.467285,0.532715
4,0,12,1926,2170,0,0.470215,0.529785
4,0,13,1945,2151,0,0.474854,0.525146
4,0,14,1925,2171,0,0.469971,0.530029
4,0,15,2039,1361,696,0.497803,0.332275
4,1,0,4096,0,0,1,0
4,1,1,4096,0,0,1,0
4,1,2,4096,0,0,1,0
4,1,3,4096,0,0,1,0
4,1,4,4096,0,0,1,0
4,1,5,4096,0,0,1,0
4,1,6,4096,0,0,1,0
4,1,7,3227,869,0,0.787842,0.212158
4,1,8,1907,2189,0,0.465576,0.534424
4,1,9,1943,2153,0,0.474365,0.525635
