PuGrp,PUnit,Chunk,ValidSectors,InvalidSectors,UnusedSectors,ValidRatio,InvalidRatio
0,0,0,-1419002016,22079,1418984033,-346436,5.39038
0,0,1,0,4096,0,0,1
0,0,2,0,4096,0,0,1
0,0,3,4096,0,0,1,0
0,0,4,4096,0,0,1,0
0,0,5,4096,0,0,1,0
0,0,6,4096,0,0,1,0
0,0,8,1868918383,1852399462,573653547,456279,452246
0,0,9,1852797802,1835101791,607071799,452343,448023
0,0,10,1769238639,7564911,-1776799454,431943,1846.9
0,0,11,1869571886,778398823,1647000683,456438,190039
0,0,12,-1419000208,22079,1418982225,-346436,5.39038
0,0,13,4,0,4092,0.000976562,0
0,0,14,11,0,4085,0.00268555,0
0,0,15,1923,2183,-10,0.469482,0.532959
0,0,16,1892,2214,-10,0.461914,0.540527
0,0,17,1991,2116,-11,0.486084,0.516602
0,0,18,10,0,4086,0.00244141,0
0,0,19,12,0,4084,0.00292969,0
0,0,20,12,0,4084,0.00292969,0
0,0,21,9,0,4087,0.00219727,0
0,0,22,11,0,4085,0.00268555,0
0,0,23,1916,2190,-10,0.467773,0.534668
0,0,24,1985,2123,-12,0.484619,0.518311
0,0,25,10,0,4086,0.00244141,0
0,0,26,11,0,4085,0.00268555,0
0,0,27,1968,2137,-9,0.480469,0.521729
0,0,28,1969,2140,-13,0.480713,0.522461
0,0,29,1911,2198,-13,0.466553,0.536621
0,1,0,-1418321648,26175,1418299569,-346270,6.39038
0,1,1,0,4096,0,0,1
0,1,2,0,4096,0,0,1
0,1,3,4096,0,0,1,0
0,1,4,4096,0,0,1,0
0,1,5,4096,0,0,1,0
0,1,6,4096,0,0,1,0
0,1,15,1946,2150,0,0.475098,0.524902
0,1,16,1043,3053,0,0.254639,0.745361
0,1,17,1994,2102,0,0.486816,0.513184
0,1,23,2002,2094,0,0.48877,0.51123
0,1,24,1943,2153,0,0.474365,0.525635
0,1,27,2002,2094,0,0.48877,0.51123
0,1,28,1981,2115,0,0.483643,0.516357
0,1,29,1956,2140,0,0.477539,0.522461
0,2,0,-1418316048,26175,1418293969,-346269,6.39038
0,2,1,0,4096,0,0,1
0,2,2,0,4096,0,0,1
0,2,3,4078,18,0,0.995605,0.00439453
0,2,4,4096,0,0,1,0
0,2,5,4096,0,0,1,0
0,2,6,4096,0,0,1,0
0,2,15,1972,2124,0,0.481445,0.518555
0,2,16,1953,2143,0,0.476807,0.523193
0,2,17,1938,2158,0,0.473145,0.526855
0,2,23,1937,2159,0,0.4729,0.5271
0,2,24,1972,2124,0,0.481445,0.518555
0,2,27,1938,2158,0,0.473145,0.526855
0,2,28,1867,2229,0,0.455811,0.544189
0,2,29,1957,2139,0,0.477783,0.522217
0,3,0,-1418321648,26175,1418299569,-346270,6.39038
0,3,1,0,4096,0,0,1
0,3,2,0,4096,0,0,1
0,3,3,3941,155,0,0.962158,0.0378418
0,3,4,4096,0,0,1,0
0,3,5,4096,0,0,1,0
0,3,6,4096,0,0,1,0
0,3,15,1906,2190,0,0.465332,0.534668
0,3,16,1965,2131,0,0.479736,0.520264
0,3,23,1921,2175,0,0.468994,0.531006
0,3,24,1943,2153,0,0.474365,0.525635
0,3,28,1917,2179,0,0.468018,0.531982
0,3,29,1920,2176,0,0.46875,0.53125
1,0,0,-1418320192,26175,1418298113,-346270,6.39038
1,0,1,0,4096,0,0,1
1,0,2,0,4096,0,0,1
1,0,3,4092,4,0,0.999023,0.000976562
1,0,4,4096,0,0,1,0
1,0,5,4096,0,0,1,0
1,0,6,4096,0,0,1,0
1,0,15,1950,2146,0,0.476074,0.523926
1,0,16,1908,2188,0,0.46582,0.53418
1,0,17,1930,2166,0,0.471191,0.528809
1,0,23,1956,2140,0,0.477539,0.522461
1,0,24,1963,2133,0,0.479248,0.520752
1,0,27,1918,2178,0,0.468262,0.531738
1,0,28,1938,2158,0,0.473145,0.526855
1,0,29,1994,2102,0,0.486816,0.513184
1,1,0,0,4096,0,0,1
1,1,1,0,4096,0,0,1
1,1,2,0,4096,0,0,1
1,1,3,4096,0,0,1,0
1,1,4,4096,0,0,1,0
1,1,5,4096,0,0,1,0
1,1,6,4096,0,0,1,0
1,1,15,1876,2220,0,0.458008,0.541992
1,1,17,1950,2146,0,0.476074,0.523926
1,1,23,1912,2184,0,0.466797,0.533203
1,1,24,1965,2131,0,0.479736,0.520264
1,1,27,1970,2126,0,0.480957,0.519043
1,1,28,2002,2094,0,0.48877,0.51123
1,1,29,1911,2185,0,0.466553,0.533447
1,2,0,0,4096,0,0,1
1,2,1,0,4096,0,0,1
1,2,2,0,4096,0,0,1
1,2,3,4096,0,0,1,0
1,2,4,4096,0,0,1,0
1,2,5,4096,0,0,1,0
1,2,6,4096,0,0,1,0
1,2,15,1918,2178,0,0.468262,0.531738
1,2,16,1874,2222,0,0.45752,0.54248
1,2,17,1985,2111,0,0.484619,0.515381
1,2,23,1982,2114,0,0.483887,0.516113
1,2,24,955,3141,0,0.233154,0.766846
1,2,27,1916,2180,0,0.467773,0.532227
1,2,28,1941,2155,0,0.473877,0.526123
1,2,29,1957,2139,0,0.477783,0.522217
1,3,0,0,4096,0,0,1
1,3,1,0,4096,0,0,1
1,3,2,0,4096,0,0,1
1,3,3,4096,0,0,1,0
1,3,4,4096,0,0,1,0
1,3,5,4096,0,0,1,0
1,3,6,4096,0,0,1,0
1,3,15,1922,2174,0,0.469238,0.530762
1,3,16,1994,2102,0,0.486816,0.513184
1,3,17,1976,2120,0,0.482422,0.517578
1,3,23,1005,3091,0,0.245361,0.754639
1,3,24,1959,2137,0,0.478271,0.521729
1,3,27,1959,2137,0,0.478271,0.521729
1,3,28,2011,2085,0,0.490967,0.509033
1,3,29,1938,2158,0,0.473145,0.526855
2,0,0,0,4096,0,0,1
2,0,1,0,4096,0,0,1
2,0,2,0,4096,0,0,1
2,0,3,4096,0,0,1,0
2,0,4,4096,0,0,1,0
2,0,5,4096,0,0,1,0
2,0,6,4096,0,0,1,0
2,0,15,1952,2144,0,0.476562,0.523438
2,0,16,1945,2151,0,0.474854,0.525146
2,0,17,1940,2156,0,0.473633,0.526367
2,0,23,1978,2118,0,0.48291,0.51709
2,0,24,1953,2143,0,0.476807,0.523193
2,0,27,1956,2140,0,0.477539,0.522461
2,0,28,1046,3050,0,0.255371,0.744629
2,0,29,1961,2135,0,0.47876,0.52124
2,1,0,0,4096,0,0,1
2,1,1,0,4096,0,0,1
2,1,2,297,3799,0,0.0725098,0.92749
2,1,3,4096,0,0,1,0
2,1,4,4096,0,0,1,0
2,1,5,4096,0,0,1,0
2,1,6,4096,0,0,1,0
2,1,15,2005,2091,0,0.489502,0.510498
2,1,16,1975,2121,0,0.482178,0.517822
2,1,17,1942,2154,0,0.474121,0.525879
2,1,23,1934,2162,0,0.472168,0.527832
2,1,24,1965,2131,0,0.479736,0.520264
2,1,27,1929,2167,0,0.470947,0.529053
2,1,28,1962,2134,0,0.479004,0.520996
2,1,29,1926,2170,0,0.470215,0.529785
2,2,0,0,4096,0,0,1
2,2,1,0,4096,0,0,1
2,2,2,3568,528,0,0.871094,0.128906
2,2,3,4096,0,0,1,0
2,2,4,4096,0,0,1,0
2,2,5,4096,0,0,1,0
2,2,6,320,0,3776,0.078125,0
2,2,15,1945,2151,0,0.474854,0.525146
2,2,16,1980,2116,0,0.483398,0.516602
2,2,17,1918,2178,0,0.468262,0.531738
2,2,23,1984,2112,0,0.484375,0.515625
2,2,27,1983,2113,0,0.484131,0.515869
2,2,28,1959,2137,0,0.478271,0.521729
2,2,29,1904,2192,0,0.464844,0.535156
2,3,0,0,4096,0,0,1
2,3,1,0,4096,0,0,1
2,3,2,4096,0,0,1,0
